,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
54,734632.857443815,0.0,734632.857443815,734632.857443815,14052.520004825821
55,755610.1186454443,0.0,755610.1186454443,755610.1186454443,14418.337976353276
56,818851.7127269382,0.0,818851.7127269382,818851.7127269382,15513.443857238386
57,531833.1995549205,0.0,531833.1995549205,531833.1995549205,10443.40944064396
58,339868.57025379955,0.0,339868.57025379955,339868.57025379955,6886.583472553152
59,416892.039117653,0.0,416892.039117653,416892.039117653,8332.438471328924
60,458855.8712235046,0.0,458855.8712235046,458855.8712235046,9109.211457934869
61,488231.4421884951,0.0,488231.4421884951,488231.4421884951,9648.70448874901
62,442202.1035817068,0.0,442202.1035817068,442202.1035817068,8801.783907321367
63,573637.8431344782,0.0,573637.8431344782,573637.8431344782,11198.624824738508
64,608667.8894907205,0.0,608667.8894907205,608667.8894907205,11826.780974203208
65,826673.230555054,0.0,826673.230555054,826673.230555054,15647.886104628466
66,987161.630655746,0.0,987161.630655746,987161.630655746,18374.205520553438
67,924712.1132794402,0.0,924712.1132794402,924712.1132794402,17321.3574022541
68,689213.7586677622,0.0,689213.7586677622,689213.7586677622,13255.564146978655
69,656497.7295232713,0.0,656497.7295232713,656497.7295232713,12677.710701906246
70,606626.626313829,0.0,606626.626313829,606626.626313829,11790.180205705617
71,550357.541390583,0.0,550357.541390583,550357.541390583,10778.643512315242
72,649172.7161758858,0.0,649172.7161758858,649172.7161758858,12547.808585718258
73,624585.9701241889,0.0,624585.9701241889,624585.9701241889,12110.6802271878
74,780032.3585988227,0.0,780032.3585988227,780032.3585988227,14842.196405020322
75,950438.4220229354,0.0,950438.4220229354,950438.4220229354,17756.070775569464
76,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.753763285953
77,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.72482954375
78,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.695895794393
79,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.666962037885
80,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.63802827424
81,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.60909450342
82,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.58016072546
83,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.551226940348
84,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.522293148082
85,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.49335934867
86,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.464425542097
87,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.43549172839
88,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.406557907514
89,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.377624079498
90,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.34869024431
91,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.319756402
92,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.29082255252
93,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.26188869589
94,1036858.4632725009,0.0,1036858.4632725009,1036858.4632725009,19204.23295483211
95,967289.6198886741,0.0,967289.6198886741,967289.6198886741,18039.47890475024
96,755028.2225550938,0.0,755028.2225550938,755028.2225550938,14407.297999946946
97,383210.4481215529,0.0,383210.4481215529,383210.4481215529,7703.0235758907875
98,374170.7040719365,0.0,374170.7040719365,374170.7040719365,7533.3600888713545
99,530707.5686662961,0.0,530707.5686662961,530707.5686662961,10422.28345859892
100,387891.3785035189,0.0,387891.3785035189,387891.3785035189,7790.689228755574
101,344910.2808911591,0.0,344910.2808911591,344910.2808911591,6981.5729524024355
102,727330.508504427,0.0,727330.508504427,727330.508504427,13923.830841759629
103,863242.5701181288,0.0,863242.5701181288,863242.5701181288,16274.232188594684
104,906484.9727531964,0.0,906484.9727531964,906484.9727531964,17011.22438634967
